Vivado Simulator 2019.2
Time resolution is 1 ps
PC:          0 | Instr: 10001100000000010000000000000100 | RegFile[1]:          x | RegFile[2]:          x | ALU Result:          x |Mem[0] :          0| Mem[1] :         10 | Mem[2] :          9
[3]:          x, [4]:          x, [5]:          x, [6]:          x, [7]:          x, [8]:          x, [9]:          x
PC:          0 | Instr: 10001100000000010000000000000100 | RegFile[1]:         10 | RegFile[2]:          x | ALU Result:          4 |Mem[0] :          0| Mem[1] :         10 | Mem[2] :          9
PC:          4 | Instr: 10001100000000100000000000001000 | RegFile[1]:         10 | RegFile[2]:         10 | ALU Result:          4 |Mem[0] :          0| Mem[1] :         10 | Mem[2] :          9
PC:          4 | Instr: 10001100000000100000000000001000 | RegFile[1]:         10 | RegFile[2]:          9 | ALU Result:          8 |Mem[0] :          0| Mem[1] :         10 | Mem[2] :          9
PC:          8 | Instr: 00000000001000100001100000100000 | RegFile[1]:         10 | RegFile[2]:          9 | ALU Result:          8 |Mem[0] :          0| Mem[1] :         10 | Mem[2] :          9
[3]:          8, [4]:          x, [5]:          x, [6]:          x, [7]:          x, [8]:          x, [9]:          x
PC:          8 | Instr: 00000000001000100001100000100000 | RegFile[1]:         10 | RegFile[2]:          9 | ALU Result:         19 |Mem[0] :          0| Mem[1] :         10 | Mem[2] :          9
[3]:         19, [4]:          x, [5]:          x, [6]:          x, [7]:          x, [8]:          x, [9]:          x
PC:         12 | Instr: 00000000001000100010000000100010 | RegFile[1]:         10 | RegFile[2]:          9 | ALU Result:         19 |Mem[0] :          0| Mem[1] :         10 | Mem[2] :          9
[3]:         19, [4]:         19, [5]:          x, [6]:          x, [7]:          x, [8]:          x, [9]:          x
PC:         12 | Instr: 00000000001000100010000000100010 | RegFile[1]:         10 | RegFile[2]:          9 | ALU Result:          1 |Mem[0] :          0| Mem[1] :         10 | Mem[2] :          9
[3]:         19, [4]:          1, [5]:          x, [6]:          x, [7]:          x, [8]:          x, [9]:          x
PC:         16 | Instr: 00000000001000100010100000100100 | RegFile[1]:         10 | RegFile[2]:          9 | ALU Result:          1 |Mem[0] :          0| Mem[1] :         10 | Mem[2] :          9
[3]:         19, [4]:          1, [5]:          1, [6]:          x, [7]:          x, [8]:          x, [9]:          x
PC:         16 | Instr: 00000000001000100010100000100100 | RegFile[1]:         10 | RegFile[2]:          9 | ALU Result:          8 |Mem[0] :          0| Mem[1] :         10 | Mem[2] :          9
[3]:         19, [4]:          1, [5]:          8, [6]:          x, [7]:          x, [8]:          x, [9]:          x
PC:         20 | Instr: 00000000001000100011000000100101 | RegFile[1]:         10 | RegFile[2]:          9 | ALU Result:          8 |Mem[0] :          0| Mem[1] :         10 | Mem[2] :          9
[3]:         19, [4]:          1, [5]:          8, [6]:          8, [7]:          x, [8]:          x, [9]:          x
PC:         20 | Instr: 00000000001000100011000000100101 | RegFile[1]:         10 | RegFile[2]:          9 | ALU Result:         11 |Mem[0] :          0| Mem[1] :         10 | Mem[2] :          9
[3]:         19, [4]:          1, [5]:          8, [6]:         11, [7]:          x, [8]:          x, [9]:          x
PC:         24 | Instr: 00000000001000100011100000100110 | RegFile[1]:         10 | RegFile[2]:          9 | ALU Result:         11 |Mem[0] :          0| Mem[1] :         10 | Mem[2] :          9
[3]:         19, [4]:          1, [5]:          8, [6]:         11, [7]:         11, [8]:          x, [9]:          x
PC:         24 | Instr: 00000000001000100011100000100110 | RegFile[1]:         10 | RegFile[2]:          9 | ALU Result:          3 |Mem[0] :          0| Mem[1] :         10 | Mem[2] :          9
[3]:         19, [4]:          1, [5]:          8, [6]:         11, [7]:          3, [8]:          x, [9]:          x
PC:         28 | Instr: 00000000001000100100000000101010 | RegFile[1]:         10 | RegFile[2]:          9 | ALU Result:          3 |Mem[0] :          0| Mem[1] :         10 | Mem[2] :          9
[3]:         19, [4]:          1, [5]:          8, [6]:         11, [7]:          3, [8]:          3, [9]:          x
PC:         28 | Instr: 00000000001000100100000000101010 | RegFile[1]:         10 | RegFile[2]:          9 | ALU Result:          0 |Mem[0] :          0| Mem[1] :         10 | Mem[2] :          9
[3]:         19, [4]:          1, [5]:          8, [6]:         11, [7]:          3, [8]:          0, [9]:          x
PC:         32 | Instr: 00000000000000010100100010000000 | RegFile[1]:         10 | RegFile[2]:          9 | ALU Result:          0 |Mem[0] :          0| Mem[1] :         10 | Mem[2] :          9
[3]:         19, [4]:          1, [5]:          8, [6]:         11, [7]:          3, [8]:          0, [9]:          0
PC:         32 | Instr: 00000000000000010100100010000000 | RegFile[1]:         10 | RegFile[2]:          9 | ALU Result:         40 |Mem[0] :          0| Mem[1] :         10 | Mem[2] :          9
[3]:         19, [4]:          1, [5]:          8, [6]:         11, [7]:          3, [8]:          0, [9]:         40
PC:         36 | Instr: 10101100000000010000000000001000 | RegFile[1]:         10 | RegFile[2]:          9 | ALU Result:         40 |Mem[0] :          0| Mem[1] :         10 | Mem[2] :          9
PC:         36 | Instr: 10101100000000010000000000001000 | RegFile[1]:         10 | RegFile[2]:          9 | ALU Result:          8 |Mem[0] :          0| Mem[1] :         10 | Mem[2] :          9
PC:         40 | Instr: 10101100000000100000000000000100 | RegFile[1]:         10 | RegFile[2]:          9 | ALU Result:          8 |Mem[0] :          0| Mem[1] :         10 | Mem[2] :         10
PC:         40 | Instr: 10101100000000100000000000000100 | RegFile[1]:         10 | RegFile[2]:          9 | ALU Result:          4 |Mem[0] :          0| Mem[1] :         10 | Mem[2] :          9
PC:         44 | Instr: 00010100001000100000000000000100 | RegFile[1]:         10 | RegFile[2]:          9 | ALU Result:          4 |Mem[0] :          0| Mem[1] :          9 | Mem[2] :          9
PC:         60 | Instr: 10101100000000010000000000000000 | RegFile[1]:         10 | RegFile[2]:          9 | ALU Result:          4 |Mem[0] :          0| Mem[1] :          9 | Mem[2] :          9
PC:         60 | Instr: 10101100000000010000000000000000 | RegFile[1]:         10 | RegFile[2]:          9 | ALU Result:          0 |Mem[0] :          0| Mem[1] :         10 | Mem[2] :          9
PC:         64 | Instr: 10001100000000000000000000000000 | RegFile[1]:         10 | RegFile[2]:          9 | ALU Result:          0 |Mem[0] :         10| Mem[1] :         10 | Mem[2] :          9
PC:         68 | Instr: 00001000000000000000000000000000 | RegFile[1]:         10 | RegFile[2]:          9 | ALU Result:          0 |Mem[0] :         10| Mem[1] :         10 | Mem[2] :          9
PC:          0 | Instr: 10001100000000010000000000000100 | RegFile[1]:         10 | RegFile[2]:          9 | ALU Result:          0 |Mem[0] :         10| Mem[1] :         10 | Mem[2] :          9
PC:          0 | Instr: 10001100000000010000000000000100 | RegFile[1]:         10 | RegFile[2]:          9 | ALU Result:          4 |Mem[0] :         10| Mem[1] :         10 | Mem[2] :          9
PC:          4 | Instr: 10001100000000100000000000001000 | RegFile[1]:         10 | RegFile[2]:         10 | ALU Result:          4 |Mem[0] :         10| Mem[1] :         10 | Mem[2] :          9
PC:          4 | Instr: 10001100000000100000000000001000 | RegFile[1]:         10 | RegFile[2]:          9 | ALU Result:          8 |Mem[0] :         10| Mem[1] :         10 | Mem[2] :          9
PC:          8 | Instr: 00000000001000100001100000100000 | RegFile[1]:         10 | RegFile[2]:          9 | ALU Result:          8 |Mem[0] :         10| Mem[1] :         10 | Mem[2] :          9
[3]:          8, [4]:          1, [5]:          8, [6]:         11, [7]:          3, [8]:          0, [9]:         40
PC:          8 | Instr: 00000000001000100001100000100000 | RegFile[1]:         10 | RegFile[2]:          9 | ALU Result:         19 |Mem[0] :         10| Mem[1] :         10 | Mem[2] :          9
[3]:         19, [4]:          1, [5]:          8, [6]:         11, [7]:          3, [8]:          0, [9]:         40
PC:         12 | Instr: 00000000001000100010000000100010 | RegFile[1]:         10 | RegFile[2]:          9 | ALU Result:         19 |Mem[0] :         10| Mem[1] :         10 | Mem[2] :          9
[3]:         19, [4]:         19, [5]:          8, [6]:         11, [7]:          3, [8]:          0, [9]:         40
PC:         12 | Instr: 00000000001000100010000000100010 | RegFile[1]:         10 | RegFile[2]:          9 | ALU Result:          1 |Mem[0] :         10| Mem[1] :         10 | Mem[2] :          9
[3]:         19, [4]:          1, [5]:          8, [6]:         11, [7]:          3, [8]:          0, [9]:         40
PC:         16 | Instr: 00000000001000100010100000100100 | RegFile[1]:         10 | RegFile[2]:          9 | ALU Result:          1 |Mem[0] :         10| Mem[1] :         10 | Mem[2] :          9
[3]:         19, [4]:          1, [5]:          1, [6]:         11, [7]:          3, [8]:          0, [9]:         40
PC:         16 | Instr: 00000000001000100010100000100100 | RegFile[1]:         10 | RegFile[2]:          9 | ALU Result:          8 |Mem[0] :         10| Mem[1] :         10 | Mem[2] :          9
[3]:         19, [4]:          1, [5]:          8, [6]:         11, [7]:          3, [8]:          0, [9]:         40
PC:         20 | Instr: 00000000001000100011000000100101 | RegFile[1]:         10 | RegFile[2]:          9 | ALU Result:          8 |Mem[0] :         10| Mem[1] :         10 | Mem[2] :          9
[3]:         19, [4]:          1, [5]:          8, [6]:          8, [7]:          3, [8]:          0, [9]:         40
PC:         20 | Instr: 00000000001000100011000000100101 | RegFile[1]:         10 | RegFile[2]:          9 | ALU Result:         11 |Mem[0] :         10| Mem[1] :         10 | Mem[2] :          9
[3]:         19, [4]:          1, [5]:          8, [6]:         11, [7]:          3, [8]:          0, [9]:         40
PC:         24 | Instr: 00000000001000100011100000100110 | RegFile[1]:         10 | RegFile[2]:          9 | ALU Result:         11 |Mem[0] :         10| Mem[1] :         10 | Mem[2] :          9
[3]:         19, [4]:          1, [5]:          8, [6]:         11, [7]:         11, [8]:          0, [9]:         40
PC:         24 | Instr: 00000000001000100011100000100110 | RegFile[1]:         10 | RegFile[2]:          9 | ALU Result:          3 |Mem[0] :         10| Mem[1] :         10 | Mem[2] :          9
[3]:         19, [4]:          1, [5]:          8, [6]:         11, [7]:          3, [8]:          0, [9]:         40
PC:         28 | Instr: 00000000001000100100000000101010 | RegFile[1]:         10 | RegFile[2]:          9 | ALU Result:          3 |Mem[0] :         10| Mem[1] :         10 | Mem[2] :          9
[3]:         19, [4]:          1, [5]:          8, [6]:         11, [7]:          3, [8]:          3, [9]:         40
